sent0,sent1,hard_neg,source
Source: Water dripping from pipe; Edit instruction: Make the water dripping from an icicle,Water dripping from icicle,Water dripping from pipe,webvid_covr_multimodal
Boys look over a bridge on to a lake.,A group of children stare out at the lake.,A boy throws bridges into a lake.,nli_base
Source: Street sign the way to gold; Edit instruction: have it say: Avoid this road,Street sign the way to precaution,Street sign the way to gold,webvid_covr_multimodal
"To honor its creators, it was to be called 'Przyrolarouish'.",The name paid tribute to their creators.,THe name paid tribute to their children.,nli_base
"Watching him, you can see why some of those monks felt it necessary to take vows of silence.",It's clear why many monks felt they had to take vows of silence if you watch him.,"After watching him, you'll have no idea why any monk would take a vow of silence.",nli_negation
Source: Sea from boat; Edit instruction: make it a fish,Sea fishing boat,Sea from boat,webvid_covr_multimodal
"To facilitate the practical use of this guide, information is organized into four sections-each summarizing one of the four goals as well as those practices that have enabled leading organizations to achieve these goals.",Information is organized into four sections to help make practical use for the guide.,There are only two sections in the guide.,nli_base
Source: From the glitch effect arises envelope symbol. then the tv turns off. alpha channel premultiplied - matted with color black; Edit instruction: make the adjustment symbol,From the glitch effect arises adjust symbol. then the tv turns off. alpha channel premultiplied - matted with color black,From the glitch effect arises envelope symbol. then the tv turns off. alpha channel premultiplied - matted with color black,webvid_covr_multimodal
Source: Church in the night; Edit instruction: make it a lantern,Lantern in the night,Church in the night,webvid_covr_multimodal
Source: Carnaval mask book; Edit instruction: make the mask into a studio scene,Carnaval mask studio,Carnaval mask book,webvid_covr_multimodal
Source: Green grapes; Edit instruction: make them acorns,Green acorns,Green grapes,webvid_covr_multimodal
Source: Rapid river; Edit instruction: make the river yellow,Yellow river,Rapid river,webvid_covr_multimodal
A man wearing sunglasses and a white shirt is riding a yellow moped.,A man is riding a moped.,A man is riding a horse.,nli_base
A man reads the paper on a deck under some trees.,The man is outside.,The man is laying in bed taking a nap.,nli_base
Source: Israel train; Edit instruction: change to a steam train,Steam train,Israel train,webvid_covr_multimodal
The bits of information were so few and far between that people weren't even paying attention.,The information was scare.,"They gave all the information people needed, so they were fascinated by it.",nli_base
Source: Kids drawing green screen with theme of shampoo; Edit instruction: put a colon after shampoo,Kids drawing green screen with theme of colon,Kids drawing green screen with theme of shampoo,webvid_covr_multimodal
A woman in a serving motion playing beach volleyball.,A beach volleyball game is happening.,A woman is playing field hockey.,nli_base
A man picks up the piece of cloth,A man picks up another piece of the puzzle on the table,A man puts down the piece of cloth,ego4d_temporal
Source: News gold text in particles; Edit instruction: make it success,Success gold text in particles,News gold text in particles,webvid_covr_multimodal
A woman in white clothing is holding a rope.,A woman has a rope in her hand.,A man is riding a horse.,nli_base
"Lines of people, all holding hands, do a slightly wobbly  conga  to the top, where everyone forgets decorum and gets very wet in the pools.","Lines of people, all holding hands, do a wobbly conga to the top, where everyone forgets decorum and gets in the pools.","Lines of people do a wobbly conga to the top, where no one leaps into the pools.",nli_negation
A woman with brown hair is wearing a brown shirt and navy colored pants and is working on pottery at a table full of unpainted pottery with a chalkboard in the background.,A woman is wearing a brown shirt.,A man is wearing a brown shirt.,nli_base
Source: Interracial couple in love; Edit instruction: Make the people romantic,Romantic couple in love,Interracial couple in love,webvid_covr_multimodal
Source: Young asian woman; Edit instruction: have her wear business attire,Young business woman,Young asian woman,webvid_covr_multimodal
Source: Ducks on the pond; Edit instruction: make it a lake,Ducks on the lake,Ducks on the pond,webvid_covr_multimodal
"Three men, all in jeans and the center on wearing a red and black cap with his arms raised, are standing next to a bus along with a coke bottle on the sidewalk.",There are three men in this picture.,"The men are all riding on rollerskates, trying to beat each other down the street.",nli_base
I had to be guarded in what I said.,Protection was needed while speaking.,It was alright to not be guarded.,nli_negation
Source: Liquid symbol dumbbell appears with water droplets. then dissolves with drops of water. alpha channel black; Edit instruction: make it transgender,Liquid symbol transgender appears with water droplets. then dissolves with drops of water. alpha channel black,Liquid symbol dumbbell appears with water droplets. then dissolves with drops of water. alpha channel black,webvid_covr_multimodal
Source: Chicken curry; Edit instruction: make it a cauldron,Chicken cauldron,Chicken curry,webvid_covr_multimodal
A worker opens the bottle of sauce,A worker is opening the bottle of olive oil,A worker closes the bottle of sauce,ego4d_temporal
Source: Dogs on the beach; Edit instruction: Put people's slippers on the beach,Slippers on the beach,Dogs on the beach,webvid_covr_multimodal
Source: Blue firework; Edit instruction: replace with a train,Blue train,Blue firework,webvid_covr_multimodal
"The blue heat haze that surrounds the mountains and gives them their name can best be seen on warm afternoons, when it is possible to see peakofter peak stretching into the distance.",The mountains give off a blue heat haze on warm afternoons.,There is only 1 mountain.,nli_base
Source: Grass sways in the wind; Edit instruction: like a swing,Grass swinging in the wind,Grass sways in the wind,webvid_covr_multimodal
Source: Bangkok night; Edit instruction: put the lights on in Shanghai,Shanghai night,Bangkok night,webvid_covr_multimodal
Source: Waves on the ocean; Edit instruction: change it to a break,Waves on the breakwater,Waves on the ocean,webvid_covr_multimodal
"Today, a visit to the quarries, just outside town, reveals some of the secrets of how the ancient Egyptians worked the stone.",Visiting the quarries is a great way to learn how ancient Egyptians worked with stone.,There is no quarry near the town.,nli_negation
A dog in the snow carrying a tree limb in its mouth.,The dog is outside.,The dog is sleeping by the fire.,nli_base
Source: Writing or sketching a word antivirus; Edit instruction: make it a word that represents rules,Writing or sketching a word regulations,Writing or sketching a word antivirus,webvid_covr_multimodal
Source: Antarctica scanned by software; Edit instruction: scanned by software in Somalia,Somalia scanned by software,Antarctica scanned by software,webvid_covr_multimodal
A person riding the number 157 dirt bike on a sandy track.,The person is on a dirt bike,they are in the grass,nli_base
